unix_timestamp,human_timestamp,nodeID,tc1,tc2,millisSinceHeatPulse,soilMoisture,outsideTemp,outsideHumidity
1563433645,7/18/2019 7:7:25,1,20.39459,20.47012,1182001,0,-1,-1
1563433648,7/18/2019 7:7:28,1,20.39711,20.46761,1185000,0,-1,-1
1563433651,7/18/2019 7:7:31,1,20.38452,20.47012,1188000,0,-1,-1
1563433654,7/18/2019 7:7:34,1,20.40215,20.46761,1191000,0,-1,-1
1563433657,7/18/2019 7:7:37,1,20.38452,20.46005,1194000,0,-1,-1
1563433660,7/18/2019 7:7:40,1,20.39207,20.46257,1197001,0,-1,-1
1563433663,7/18/2019 7:7:43,1,20.38956,20.46509,1200001,0,-1,-1
1563433666,7/18/2019 7:7:46,1,20.40215,20.46257,1203000,0,-1,-1
1563433669,7/18/2019 7:7:49,1,20.39963,20.44998,1206000,0,-1,-1
1563433672,7/18/2019 7:7:52,1,20.37697,20.46761,1209000,0,-1,-1
1563433675,7/18/2019 7:7:55,1,20.38452,20.46005,1212000,0,-1,-1
1563433678,7/18/2019 7:7:58,1,20.38704,20.4525,1215001,0,-1,-1
1563433681,7/18/2019 7:8:1,1,20.38452,20.45502,1218000,1,-1,-1
1563433684,7/18/2019 7:8:4,1,20.382,20.45753,1221001,1,-1,-1
1563433687,7/18/2019 7:8:7,1,20.37445,20.45502,1224001,1,-1,-1
1563433690,7/18/2019 7:8:10,1,20.37697,20.44746,1227000,0,-1,-1
1563433693,7/18/2019 7:8:13,1,20.36942,20.45502,1230001,0,-1,-1
1563433696,7/18/2019 7:8:16,1,20.37697,20.46257,1233001,0,-1,-1
1563433699,7/18/2019 7:8:19,1,20.36942,20.44495,1236000,0,-1,-1
1563433702,7/18/2019 7:8:22,1,20.382,20.44746,1239000,0,-1,-1
1563433705,7/18/2019 7:8:25,1,20.37949,20.44495,1242001,0,-1,-1
1563433708,7/18/2019 7:8:28,1,20.36186,20.43739,1245000,0,-1,-1
1563433711,7/18/2019 7:8:31,1,20.37949,20.43991,1248000,0,-1,-1
1563433714,7/18/2019 7:8:34,1,20.37697,20.4525,1251001,0,-1,-1
1563433717,7/18/2019 7:8:37,1,20.37445,20.42984,1254000,1,-1,-1
1563433720,7/18/2019 7:8:40,1,20.3669,20.44746,1257001,1,-1,-1
1563433723,7/18/2019 7:8:43,1,20.36438,20.44998,1260000,0,-1,-1
1563433726,7/18/2019 7:8:46,1,20.37193,20.44746,1263000,0,-1,-1
1563433729,7/18/2019 7:8:49,1,20.37445,20.43488,1266000,0,-1,-1
1563433732,7/18/2019 7:8:52,1,20.3669,20.45753,1269000,0,-1,-1
1563433735,7/18/2019 7:8:55,1,20.35934,20.43991,1272001,0,-1,-1
1563433738,7/18/2019 7:8:58,1,20.35683,20.4525,1275001,0,-1,-1
1563433741,7/18/2019 7:9:1,1,20.37445,20.44998,1278001,0,-1,-1
1563433744,7/18/2019 7:9:4,1,20.3669,20.43739,1281000,0,-1,-1
1563433747,7/18/2019 7:9:7,1,20.37949,20.45502,1284001,0,-1,-1
1563433750,7/18/2019 7:9:10,1,20.3669,20.44746,1287000,0,-1,-1
1563433753,7/18/2019 7:9:13,1,20.36438,20.44495,1290000,0,-1,-1
1563433756,7/18/2019 7:9:16,1,20.37697,20.45753,1293001,0,-1,-1
1563433759,7/18/2019 7:9:19,1,20.35934,20.44495,1296000,0,-1,-1
1563433762,7/18/2019 7:9:22,1,20.36186,20.44746,1299001,0,-1,-1
